"","seq","rep","time","method","crps","logs","pit"
"1",5,1,1,"BMA",10.2091403509945,4.466277673163,0.872
"2",5,1,2,"BMA",4.56281357846566,3.75972931890545,0.668
"3",5,1,3,"BMA",12.221580842777,4.49864228762993,0.88
"4",5,1,4,"BMA",4.56623678588384,3.91102773974301,0.4915
"5",5,1,5,"BMA",4.47902950889789,3.75868041507755,0.5815
"6",5,1,6,"BMA",3.7714803646343,3.64204033791941,0.6085
"7",5,1,7,"BMA",7.40994992638926,3.86297640160137,0.7855
"8",5,1,8,"BMA",6.19017965174741,3.77062472972957,0.7445
"9",5,1,9,"BMA",3.75997584879386,3.78709555208749,0.44
"10",5,1,10,"BMA",4.33625112515247,3.74178785450443,0.3645
"11",5,1,11,"BMA",9.39346494567428,4.60749161879656,0.2855
"12",5,1,12,"BMA",11.6825144804514,4.39645341468183,0.611
"13",5,1,13,"BMA",5.71671017912743,4.05525215097999,0.4385
"14",5,1,14,"BMA",7.24830920210169,4.03971397542153,0.7535
"15",5,1,15,"BMA",15.4602137238271,5.07514509522874,0.9475
"16",5,1,16,"BMA",3.60617417438499,3.54414174858851,0.6625
"17",5,1,17,"BMA",6.27550364458014,3.85708958421769,0.84
"18",5,1,18,"BMA",2.28903645378073,3.29578997559066,0.4495
"19",5,1,19,"BMA",2.20596402517772,3.13600007161563,0.5745
"20",5,1,20,"BMA",2.9940323559531,3.15393732183127,0.741
"21",5,1,21,"BMA",6.52826622246648,3.83704449927438,0.9055
"22",5,1,22,"BMA",1.58674590992364,2.81447804191449,0.417
"23",5,1,23,"BMA",3.0106087915725,2.9585569714223,0.195
"24",5,1,24,"BMA",1.51327797171473,2.65644064730092,0.3905
"25",5,1,25,"BMA",1.95774196838785,2.70327945994167,0.2375
"26",5,1,26,"BMA",2.03301748995616,2.61693548471673,0.2375
"27",5,1,27,"BMA",1.55501650867962,2.49910229894606,0.2725
"28",5,1,28,"BMA",2.99744163712312,2.89348546557189,0.081
"29",5,1,29,"BMA",0.725118790547436,2.09127244213312,0.492
"30",5,1,30,"BMA",1.08833712401978,2.20744587987924,0.68
"31",5,1,31,"BMA",0.853980019088982,2.08243102391611,0.361
"32",5,1,32,"BMA",1.17156099935145,2.12564446320259,0.2225
"33",5,1,33,"BMA",0.703958350191777,1.83483592682829,0.3905
"34",5,1,34,"BMA",2.258247670847,2.86586648325082,0.0545
"35",5,1,35,"BMA",0.978157849474177,1.79763543028585,0.226
"36",5,1,36,"BMA",0.803269677953784,1.84122941295396,0.2365
"37",5,1,37,"BMA",0.451818939028729,1.65234255541019,0.4635
"38",5,1,38,"BMA",0.480788141310413,1.46440533466512,0.353
"39",5,1,1,"AVS",10.2091403509945,4.49300330990629,0.874
"40",5,1,2,"AVS",4.82632046587088,3.73662668768766,0.6885
"41",5,1,3,"AVS",18.4646214704563,5.01069647922754,0.9495
"42",5,1,4,"AVS",4.18343046286155,3.77218029927207,0.3225
"43",5,1,5,"AVS",3.69979824401907,3.60237195543219,0.531
"44",5,1,6,"AVS",3.67132077215199,3.6728921044204,0.5675
"45",5,1,7,"AVS",7.55931077989488,3.91505789766066,0.775
"46",5,1,8,"AVS",6.67913729219723,3.93146278027911,0.782
"47",5,1,9,"AVS",3.33886315924541,3.63649431953662,0.527
"48",5,1,10,"AVS",4.21499275983487,3.69852254890067,0.3805
"49",5,1,11,"AVS",9.33260323752823,4.45545049032414,0.2895
"50",5,1,12,"AVS",11.69244256,4.40403153383311,0.633
"51",5,1,13,"AVS",5.71574199999933,4.05099998886015,0.422
"52",5,1,14,"AVS",7.26037359999862,4.03829312551121,0.7685
"53",5,1,15,"AVS",15.4924215998229,5.02212684928649,0.955
"54",5,1,16,"AVS",3.62351719059928,3.54105663053699,0.6565
"55",5,1,17,"AVS",6.29191159999819,3.95415244064548,0.833
"56",5,1,18,"AVS",2.28161160002365,3.22993803901225,0.451
"57",5,1,19,"AVS",2.20532840000114,3.05808320166362,0.5885
"58",5,1,20,"AVS",2.99233620000533,3.230882367467,0.7365
