"","seq","rep","time","method","crps","logs","pit"
"1",4,1,1,"BMA",4.58790926976681,3.69291917305839,0.798
"2",4,1,2,"BMA",7.26703650201698,4.09111603982627,0.879
"3",4,1,3,"BMA",23.8078893000706,6.16887582361634,0.988
"4",4,1,4,"BMA",8.29484624460201,4.30056820627879,0.6
"5",4,1,5,"BMA",11.0569244673475,4.54016835948532,0.2135
"6",4,1,6,"BMA",7.91359088652875,4.23266715341984,0.3
"7",4,1,7,"BMA",8.95002111126292,4.22543013953157,0.7085
"8",4,1,8,"BMA",12.6905659597165,4.57985907375232,0.835
"9",4,1,9,"BMA",13.2341744392439,4.49028282225753,0.8715
"10",4,1,10,"BMA",22.2108774085519,5.52483113115091,0.9775
"11",4,1,11,"BMA",11.6522968244997,4.41606062207191,0.894
"12",4,1,12,"BMA",15.4406757984601,4.96960360733947,0.946
"13",4,1,13,"BMA",4.13666394214598,3.64468716311569,0.693
"14",4,1,14,"BMA",3.16368794219767,3.51043429953714,0.507
"15",4,1,15,"BMA",18.3169399681913,5.36787714203476,0.035
"16",4,1,16,"BMA",18.2044765622164,4.96869929577055,0.071
"17",4,1,17,"BMA",3.61298553876611,3.67533103808284,0.446
"18",4,1,18,"BMA",4.08751950521056,3.55691968083904,0.309
"19",4,1,19,"BMA",2.76762075326861,3.4104895147338,0.5635
"20",4,1,20,"BMA",4.73191294458336,3.57276207551999,0.782
"21",4,1,21,"BMA",5.44874777290899,3.75696337504049,0.841
"22",4,1,22,"BMA",2.5082447811517,3.17327320277132,0.6485
"23",4,1,23,"BMA",2.75588615675098,3.0527943021199,0.7135
"24",4,1,24,"BMA",2.00665076456885,2.97545539926116,0.6315
"25",4,1,25,"BMA",2.27181771720632,2.95030021226531,0.7235
"26",4,1,26,"BMA",2.01184199473091,2.85892043766117,0.6935
"27",4,1,27,"BMA",4.34911767488671,3.57085907211112,0.9065
"28",4,1,28,"BMA",2.27349403513569,2.93066292625556,0.7815
"29",4,1,29,"BMA",3.02870994179211,3.10786840224381,0.8575
"30",4,1,30,"BMA",3.08551133071514,2.99924652389238,0.866
"31",4,1,31,"BMA",2.4005971889858,2.89377038573822,0.8285
"32",4,1,32,"BMA",2.4840209675106,2.96446838989181,0.8395
"33",4,1,33,"BMA",1.54626377078844,2.62455978772686,0.7275
"34",4,1,34,"BMA",1.49408149438651,2.51568923789972,0.7295
"35",4,1,35,"BMA",1.72938033619555,2.7214761986199,0.765
