"","seq","rep","time","method","crps","logs","pit"
"1",2,1,1,"BMA",13.8313967167549,4.75072193106441,0.9295
"2",2,1,2,"BMA",5.69727747993907,4.06173807896903,0.69
"3",2,1,3,"BMA",4.90951192966895,4.00932304286743,0.4835
"4",2,1,4,"BMA",4.15646043087708,3.73070190727503,0.4705
"5",2,1,5,"BMA",7.24854770274633,4.32798638423004,0.201
"6",2,1,6,"BMA",8.91131356809023,3.96991313951131,0.811
"7",2,1,7,"BMA",5.11541107913659,4.14399013902019,0.4705
"8",2,1,8,"BMA",6.17749792212728,3.85006340971521,0.6835
"9",2,1,9,"BMA",8.10939215530708,4.597984420655,0.2065
"10",2,1,10,"BMA",5.59123119776149,3.82333508617696,0.281
"11",2,1,11,"BMA",7.97645419967218,4.06989951297785,0.141
"12",2,1,12,"BMA",5.87069657241407,3.74133026748981,0.2285
"13",2,1,13,"BMA",3.43470827459491,3.48822784517893,0.668
"14",2,1,14,"BMA",2.67642344601876,3.27836305816205,0.5935
"15",2,1,15,"BMA",4.20726730625234,3.41054992227029,0.227
"16",2,1,16,"BMA",4.60414452684959,3.4702318580033,0.1815
"17",2,1,17,"BMA",2.5041986613931,3.20923546817256,0.4095
"18",2,1,18,"BMA",1.7868103138463,2.91785673334101,0.5465
"19",2,1,19,"BMA",1.56432169512768,2.7194921162988,0.3975
"20",2,1,20,"BMA",1.21660534905697,2.62297806581059,0.4865
"21",2,1,21,"BMA",1.84160437575639,2.81404692560634,0.728
"22",2,1,22,"BMA",1.7612300177877,2.89025256214207,0.717
"23",2,1,23,"BMA",1.89544916579057,2.76201188669518,0.7535
"24",2,1,24,"BMA",2.18239095887024,2.94442370873661,0.79
"25",2,1,25,"BMA",1.06212646111495,2.1966550876576,0.422
"26",2,1,26,"BMA",0.777105954260832,2.07901423214542,0.5965
"27",2,1,27,"BMA",1.72751348688553,2.39150653535239,0.139
"28",2,1,28,"BMA",1.25635893719119,2.09810628394785,0.1925
"29",2,1,29,"BMA",1.21953977967951,2.02838598708561,0.1705
"30",2,1,30,"BMA",0.473942838658892,1.68831763087513,0.459
"31",2,1,31,"BMA",1.28288704978711,2.04586879872093,0.129
"32",2,1,32,"BMA",1.85608904168426,2.65541354269915,0.0335
"33",2,1,33,"BMA",1.59376445027818,2.40706200200423,0.0535
"34",2,1,34,"BMA",2.65270240716467,5.14179011726982,5e-04
"35",2,1,35,"BMA",1.51850522768778,2.63297451313202,0.036
"36",2,1,36,"BMA",0.910287530918619,1.72427803407092,0.076
"37",2,1,37,"BMA",0.548741674569581,1.209143438353,0.1585
"38",2,1,38,"BMA",0.299865772804036,1.14046207020268,0.6685
"39",2,1,1,"AVS",13.8313967167549,4.48471227437749,0.91
"40",2,1,2,"AVS",9.53112996850273,4.42788385974721,0.909
"41",2,1,3,"AVS",5.96317982312363,4.01569643168828,0.334
"42",2,1,4,"AVS",6.41848533384645,4.00713865795117,0.2685
"43",2,1,5,"AVS",9.69675189864614,5.00845637423866,0.057
"44",2,1,6,"AVS",6.6425558902465,3.75020129100159,0.732
"45",2,1,7,"AVS",8.5652951637548,4.37990612681591,0.034
"46",2,1,8,"AVS",2.97659143678992,3.16085205288249,0.264
"47",2,1,9,"AVS",12.7679213822682,5.27570919189675,0.0155
"48",2,1,10,"AVS",15.5982411007948,6.02608450418963,0.008
"49",2,1,11,"AVS",8.08340077717094,4.20812472812738,0.1315
"50",2,1,12,"AVS",2.07888438329624,3.12977538353245,0.58
"51",2,1,13,"AVS",5.07569665876106,3.51774259288015,0.8345
