"","seq","rep","time","method","crps","logs","pit"
"1",10,1,1,"BMA",2.06452156798482,2.75360528212934,0.101
"2",10,1,2,"BMA",1.53270480153681,2.32452933529487,0.1815
"3",10,1,3,"BMA",0.980536666219539,2.03074949575341,0.255
"4",10,1,4,"BMA",1.06944076106529,2.08813173149604,0.8075
"5",10,1,5,"BMA",1.15300990339651,2.19662130250789,0.819
"6",10,1,6,"BMA",1.16427167425434,2.08529647512358,0.182
"7",10,1,7,"BMA",1.8712404407318,2.64811142677207,0.908
"8",10,1,8,"BMA",0.998685469169771,1.98428778175472,0.2105
"9",10,1,9,"BMA",2.1166038477084,2.65688390313373,0.077
"10",10,1,10,"BMA",1.44441929590403,2.20143378016822,0.1625
"11",10,1,11,"BMA",0.545165961572652,1.77533284836038,0.5245
"12",10,1,12,"BMA",0.454380736381099,1.61413162183008,0.495
"13",10,1,13,"BMA",0.477270631969279,1.64861550894584,0.514
"14",10,1,14,"BMA",0.669586767556981,1.83110801277726,0.6805
"15",10,1,15,"BMA",0.458872265940863,1.64663660815706,0.49
"16",10,1,16,"BMA",1.16535523266312,2.06568615264921,0.8385
"17",10,1,17,"BMA",0.445484417667591,1.54997119759835,0.4815
"18",10,1,18,"BMA",0.405731574338207,1.58479226482892,0.472
"19",10,1,19,"BMA",0.41707607751244,1.53852205344892,0.5055
"20",10,1,20,"BMA",0.590133036408283,1.69114594631317,0.261
"21",10,1,21,"BMA",1.25589381921828,2.19830666997312,0.126
"22",10,1,22,"BMA",1.2236816036568,2.13013284826935,0.8965
"23",10,1,23,"BMA",0.633316026706554,1.68759333652062,0.2725
"24",10,1,24,"BMA",1.22308114911363,2.07116868597435,0.874
"25",10,1,25,"BMA",1.27213658146507,2.12048310161242,0.8775
"26",10,1,26,"BMA",1.25021986255407,2.06557834854963,0.1235
"27",10,1,27,"BMA",0.423436243727606,1.51008079205142,0.5365
"28",10,1,28,"BMA",1.23905600544016,2.06802491209933,0.8655
"29",10,1,29,"BMA",0.37986145069943,1.42607859958936,0.4935
"30",10,1,30,"BMA",0.403613262815845,1.51743272434172,0.4925
"31",10,1,31,"BMA",0.38375645562917,1.49549363704766,0.5115
"32",10,1,32,"BMA",1.21237682289366,2.13479184687654,0.1285
"33",10,1,33,"BMA",1.24969516331885,2.18611648907206,0.8895
"34",10,1,34,"BMA",1.22803184631104,2.1639181689898,0.8825
"35",10,1,35,"BMA",1.15909899696119,2.11795198615411,0.122
"36",10,1,36,"BMA",0.396399840275377,1.46274136066701,0.5215
"37",10,1,37,"BMA",2.00363396337751,2.84143744935733,0.051
"38",10,1,38,"BMA",0.419313527686646,1.55954000168825,0.466
"39",10,1,1,"AVS",2.06452156798482,2.76379345908758,0.0855
"40",10,1,2,"AVS",1.29748285039553,2.20604412462868,0.2075
"41",10,1,3,"AVS",0.740278426358507,1.91066646339581,0.297
"42",10,1,4,"AVS",1.18279234579899,2.13144808435973,0.831
"43",10,1,5,"AVS",1.22220515555448,2.1275044435267,0.847
"44",10,1,6,"AVS",1.1773145196137,2.02778572178115,0.183
"45",10,1,7,"AVS",1.98205865217846,2.7382377183188,0.9385
"46",10,1,8,"AVS",1.04355106997155,2.00671660804311,0.203
"47",10,1,9,"AVS",2.07491503608568,2.57366194000346,0.076
"48",10,1,10,"AVS",1.29851705357247,2.1525629790136,0.178
"49",10,1,11,"AVS",0.53582065164211,1.80257499602061,0.539
"50",10,1,12,"AVS",0.451853389664446,1.64932473058333,0.5165
"51",10,1,13,"AVS",0.477781776644139,1.60564811996248,0.5145
"52",10,1,14,"AVS",0.675104616511599,1.87051568304843,0.6815
"53",10,1,15,"AVS",0.459683800484332,1.74050991180754,0.4825
"54",10,1,16,"AVS",1.1528322325486,1.97461660992394,0.8425
"55",10,1,17,"AVS",0.442190749709029,1.50714788996824,0.486
"56",10,1,18,"AVS",0.40476319274116,1.50818601704762,0.469
"57",10,1,19,"AVS",0.416727313439167,1.57944274311385,0.5155
"58",10,1,20,"AVS",0.591483421154416,1.6105040408835,0.301
"59",10,1,21,"AVS",1.25784121146755,2.08928413658756,0.131
"60",10,1,22,"AVS",1.23094745102859,2.18839665105944,0.876
"61",10,1,23,"AVS",0.634798689426167,1.6642391388441,0.284
"62",10,1,24,"AVS",1.22865227789849,2.24692574284496,0.8965
"63",10,1,25,"AVS",1.25492994134244,2.22047619498314,0.883
"64",10,1,26,"AVS",1.26340401155721,2.13803762961034,0.117
"65",10,1,27,"AVS",0.420893029856074,1.49434790570824,0.5075
"66",10,1,28,"AVS",1.23473406729863,2.06481814898872,0.883
"67",10,1,29,"AVS",0.378844560593909,1.45088478504967,0.508
"68",10,1,30,"AVS",0.402217375896176,1.52153695348005,0.499
"69",10,1,31,"AVS",0.385633565500789,1.46320431058193,0.495
"70",10,1,32,"AVS",1.21590107842704,2.02776643189404,0.128
"71",10,1,33,"AVS",1.25146052964788,2.08313870016927,0.881
"72",10,1,34,"AVS",1.23505587741183,2.12741238607527,0.876
"73",10,1,35,"AVS",1.14741669640269,2.09843554503997,0.1395
"74",10,1,36,"AVS",0.396225662914041,1.51413504802395,0.5165
"75",10,1,37,"AVS",1.99770086961231,2.84762589108504,0.0345
"76",10,1,38,"AVS",0.419743422273321,1.54787400994997,0.4775
"77",10,1,1,"EQW",2.06452156798482,2.64508138908233,0.094
"78",10,1,2,"EQW",2.05548390199802,2.67181909036451,0.1045
"79",10,1,3,"EQW",1.5348492999121,2.35496384021638,0.182
"80",10,1,4,"EQW",0.778725545242586,2.12888952702208,0.564
"81",10,1,5,"EQW",0.919055872303812,2.15969404064323,0.705
"82",10,1,6,"EQW",1.14433788909462,2.16418830514937,0.229
"83",10,1,7,"EQW",1.4258144357723,2.47315433955493,0.827
"84",10,1,8,"EQW",0.76876312024981,1.93894339971812,0.357
"85",10,1,9,"EQW",2.33789443341736,2.81059112522052,0.0615
"86",10,1,10,"EQW",2.11260197190264,2.66168031865292,0.113
"87",10,1,11,"EQW",0.920083436885138,2.02511991142894,0.32
"88",10,1,12,"EQW",0.622187041168481,1.74024731327048,0.395
"89",10,1,13,"EQW",0.461205202114106,1.53913810956183,0.445
"90",10,1,14,"EQW",0.588627256954563,1.7519672557797,0.6855
"91",10,1,15,"EQW",0.484214103771137,1.61764739298279,0.6055
"92",10,1,16,"EQW",1.50910947386484,2.31772707449391,0.8815
"93",10,1,17,"EQW",0.817281461568464,1.962857180407,0.6995
"94",10,1,18,"EQW",0.759525411980554,1.96623692032812,0.6975
"95",10,1,19,"EQW",0.728955057888411,1.93564423170642,0.6795
"96",10,1,20,"EQW",0.502584733442993,1.79428145155339,0.4945
"97",10,1,21,"EQW",0.984376294984673,1.90429945606016,0.1865
"98",10,1,22,"EQW",0.940991413083094,1.99053774147276,0.804
"99",10,1,23,"EQW",0.504525275238548,1.6453702824849,0.396
"100",10,1,24,"EQW",1.24197014899344,2.16253398376005,0.8605
"101",10,1,25,"EQW",1.87337373934307,2.60114673056419,0.924
"102",10,1,26,"EQW",0.698881887717854,2.05370436352361,0.4465
"103",10,1,27,"EQW",0.57801221259502,1.68207469809468,0.627
"104",10,1,28,"EQW",1.65738197836722,2.41132059515144,0.9035
"105",10,1,29,"EQW",0.808645041084838,1.92000698864604,0.6845
"106",10,1,30,"EQW",0.762445070235839,1.80635103698741,0.639
"107",10,1,31,"EQW",0.727235768984209,1.85820346249205,0.658
"108",10,1,32,"EQW",0.744011171311803,1.90059897953367,0.3395
"109",10,1,33,"EQW",1.28256741616854,2.26632777835823,0.8495
"110",10,1,34,"EQW",1.89905643036508,2.59286569533291,0.906
"111",10,1,35,"EQW",0.680501106850773,2.05281770324948,0.4555
"112",10,1,36,"EQW",0.631658159864257,1.75847421783051,0.6655
"113",10,1,37,"EQW",1.30859523720941,2.17327086559559,0.169
"114",10,1,38,"EQW",0.588067608118467,1.70677205902943,0.38
"115",10,1,1,"SGP",2.06452156798482,2.58408714657758,0.0995
"116",10,1,2,"SGP",1.78727675645965,2.48725580574459,0.147
"117",10,1,3,"SGP",0.956357892473658,1.93651355768136,0.264
"118",10,1,4,"SGP",1.00305646088681,2.10838179078241,0.763
"119",10,1,5,"SGP",1.16736434579387,2.12223542344781,0.8125
"120",10,1,6,"SGP",1.17895392136585,2.02699653154745,0.179
"121",10,1,7,"SGP",1.91182458209613,2.54372897346697,0.914
"122",10,1,8,"SGP",0.76714726793834,1.93721083145175,0.3005
"123",10,1,9,"SGP",2.19617571611875,2.88614566084284,0.0495
"124",10,1,10,"SGP",1.29354283907334,2.24492046765099,0.172
