"","seq","rep","time","method","crps","logs","pit"
"1",7,1,1,"BMA",2.98961754250915,3.0732134644925,0.7735
"2",7,1,2,"BMA",3.00716559510307,3.1521793803782,0.82
"3",7,1,3,"BMA",4.29193923317351,3.60323554036636,0.888
"4",7,1,4,"BMA",1.55022811055312,2.79248933684434,0.4945
"5",7,1,5,"BMA",1.8136192840494,2.8693431775554,0.614
"6",7,1,6,"BMA",2.83164378284645,3.11702798532547,0.775
"7",7,1,7,"BMA",8.10690874901999,4.35399082722342,0.954
"8",7,1,8,"BMA",4.79547532171876,3.56091149427839,0.8315
"9",7,1,9,"BMA",3.56472549019278,3.31313187654522,0.7685
"10",7,1,10,"BMA",5.9428027944861,3.79298441451897,0.891
"11",7,1,11,"BMA",14.5834973449185,5.7714141326729,0.9885
"12",7,1,12,"BMA",6.13832934113959,3.9615040268003,0.813
"13",7,1,13,"BMA",2.83447335790419,3.25956592484918,0.3255
"14",7,1,14,"BMA",5.68694118158385,3.6994256343857,0.839
"15",7,1,15,"BMA",5.06944731745283,3.60040807038316,0.823
"16",7,1,16,"BMA",7.11371070370521,3.90312020985925,0.1255
"17",7,1,17,"BMA",2.37802225979582,3.19833485097361,0.4455
"18",7,1,18,"BMA",4.36351029101027,3.51601586603701,0.809
"19",7,1,19,"BMA",2.33017615400137,3.20479454231623,0.381
"20",7,1,20,"BMA",1.76110855957241,2.90221904060428,0.484
"21",7,1,21,"BMA",2.48682883441969,3.05758358983935,0.305
"22",7,1,22,"BMA",1.84893635076349,2.84599732989663,0.595
"23",7,1,23,"BMA",4.9288333200951,3.47965632960096,0.867
"24",7,1,24,"BMA",3.0448734086707,3.10403235245212,0.205
"25",7,1,25,"BMA",7.03664498574815,4.33146760004661,0.0375
"26",7,1,26,"BMA",2.09022061454011,2.83958864813326,0.282
"27",7,1,27,"BMA",6.69537785162206,4.06589741083559,0.9495
"28",7,1,28,"BMA",1.22433701313492,2.59051242450252,0.5345
"29",7,1,29,"BMA",2.49716219972313,2.88670828529411,0.195
"30",7,1,30,"BMA",1.0911867181829,2.43755556626408,0.576
"31",7,1,31,"BMA",1.55531833497546,2.51857626293365,0.2725
"32",7,1,32,"BMA",3.74735897469462,3.27097945294725,0.061
"33",7,1,33,"BMA",4.13391473164508,3.46162983623285,0.043
