"","seq","rep","time","method","crps","logs","pit"
"1",1,1,1,"BMA",1.65961823399914,2.93875663858046,0.534
"2",1,1,2,"BMA",1.47181809898812,2.66972975799568,0.3815
"3",1,1,3,"BMA",4.28695558617779,3.74542402390425,0.052
"4",1,1,4,"BMA",1.07770553636307,2.46649653609713,0.4375
"5",1,1,5,"BMA",1.92819188320791,2.6946545881374,0.79
"6",1,1,6,"BMA",1.0492793014258,2.40645201947918,0.604
"7",1,1,7,"BMA",1.2151703191595,2.45865447206059,0.6685
"8",1,1,8,"BMA",2.80994699295117,3.03621890265119,0.886
"9",1,1,9,"BMA",2.74166483677483,2.9855673034584,0.883
"10",1,1,10,"BMA",0.993266758911743,2.28797947658628,0.6145
"11",1,1,11,"BMA",2.5166325892423,2.83609024700426,0.8775
"12",1,1,12,"BMA",3.15910327287223,3.03351794509029,0.912
"13",1,1,13,"BMA",0.845911295046482,2.22128958720918,0.455
"14",1,1,14,"BMA",10.6963658768205,11.1261132853761,1
"15",1,1,15,"BMA",11.2374935042318,6.28464947380396,0.996
"16",1,1,16,"BMA",1.94042017766307,3.00969523883853,0.4865
"17",1,1,17,"BMA",2.86940958486309,3.0023553882911,0.8115
"18",1,1,18,"BMA",1.31883841625411,2.64169355969337,0.558
"19",1,1,19,"BMA",1.40552927111834,2.65181179292887,0.6385
"20",1,1,20,"BMA",1.41829480683293,2.63795520989669,0.3785
"21",1,1,21,"BMA",5.98319282017193,4.00707605451521,0.9615
"22",1,1,22,"BMA",8.5467227926327,4.68937107647507,0.021
"23",1,1,23,"BMA",2.94862600244923,3.00663927134362,0.1745
"24",1,1,24,"BMA",3.03133506828035,3.20320456321974,0.1815
"25",1,1,25,"BMA",2.8634936556112,2.98206086603348,0.195
"26",1,1,26,"BMA",8.97074431656838,4.97749562050779,0.018
"27",1,1,27,"BMA",9.6371120516909,4.85982347442258,0.02
"28",1,1,28,"BMA",1.51296353464512,2.83562888768786,0.561
"29",1,1,29,"BMA",1.9027738206117,2.74954912289966,0.339
"30",1,1,30,"BMA",1.45203151089183,2.6736526953381,0.4185
"31",1,1,31,"BMA",4.56282165421274,3.41081118703469,0.092
"32",1,1,32,"BMA",2.27170717103595,2.92254794977745,0.2475
"33",1,1,33,"BMA",1.87431922980276,2.82574781222523,0.2875
"34",1,1,34,"BMA",1.84831360003217,2.88016057699102,0.303
"35",1,1,35,"BMA",1.33996565489008,2.79786549291969,0.464
"36",1,1,36,"BMA",2.28950706560915,2.8704913017311,0.2335
"37",1,1,37,"BMA",2.72760435752167,3.08014524927612,0.221
"38",1,1,38,"BMA",1.32078286950913,2.67937661704475,0.581
"39",1,1,1,"AVS",1.65961823399914,2.89338673582386,0.5415
"40",1,1,2,"AVS",1.21993319248168,2.46767935397382,0.411
"41",1,1,3,"AVS",4.07711490326422,3.3739923924602,0.064
"42",1,1,4,"AVS",0.992719848171666,2.3503617706964,0.4955
"43",1,1,5,"AVS",2.21830458522751,2.79298029720987,0.8265
"44",1,1,6,"AVS",0.97347691352691,2.38588359658683,0.558
"45",1,1,7,"AVS",1.05834559962379,2.37048311259271,0.6425
"46",1,1,8,"AVS",2.5732701777035,2.74065840219672,0.8635
"47",1,1,9,"AVS",2.63125519111627,2.90140186705689,0.8595
"48",1,1,10,"AVS",0.929873966321665,2.2310247631186,0.5935
"49",1,1,11,"AVS",2.48571336155717,2.93330651461121,0.883
"50",1,1,12,"AVS",3.29808543479267,3.10901725011945,0.9195
"51",1,1,13,"AVS",0.826861784501974,2.22249679519452,0.508
"52",1,1,14,"AVS",10.9522723552141,8.23987647554591,1
"53",1,1,15,"AVS",10.9668944467036,6.84502722138805,0.998
"54",1,1,16,"AVS",2.28544605340096,2.99766209008534,0.365
"55",1,1,17,"AVS",2.88456276746056,2.98727793720728,0.8215
"56",1,1,18,"AVS",1.30098994711039,2.61739810244202,0.552
"57",1,1,19,"AVS",1.45922418212062,2.62035564744792,0.6545
"58",1,1,20,"AVS",1.35941239755762,2.62969253522056,0.404
"59",1,1,21,"AVS",6.26884704291138,4.09622641617339,0.9765
"60",1,1,22,"AVS",8.0775914024462,4.94671606399027,0.0145
"61",1,1,23,"AVS",2.89680898200755,2.95884720659445,0.1875
"62",1,1,24,"AVS",2.98817397808185,3.1000873067575,0.185
"63",1,1,25,"AVS",2.82485079982103,2.95652220459349,0.195
"64",1,1,26,"AVS",9.00372874720794,5.03912599651285,0.0145
"65",1,1,27,"AVS",9.645299471772,4.81033800038206,0.0265
"66",1,1,28,"AVS",1.51763681227061,2.85888808061616,0.555
"67",1,1,29,"AVS",2.01208980293559,2.84283758667305,0.32
"68",1,1,30,"AVS",1.56226496980802,2.75213071167217,0.3905
"69",1,1,31,"AVS",5.00287629478378,3.55399620447458,0.0925
"70",1,1,32,"AVS",2.16270255624096,2.84803784279593,0.2975
"71",1,1,33,"AVS",1.70264379062684,2.85294631472344,0.3425
"72",1,1,34,"AVS",1.65684776312539,2.80193731336615,0.3785
"73",1,1,35,"AVS",1.37560603254994,2.72859658493055,0.5165
"74",1,1,36,"AVS",1.99860455666538,2.76427029611779,0.2765
"75",1,1,37,"AVS",2.47192809602286,2.97548370011635,0.2225
"76",1,1,38,"AVS",1.30573620825894,2.68405890993184,0.5525
"77",1,1,1,"EQW",1.65961823399914,2.90974181300639,0.531
"78",1,1,2,"EQW",1.60578431014765,2.5883147206691,0.345
"79",1,1,3,"EQW",4.94267183478538,3.68292571559867,0.051
"80",1,1,4,"EQW",1.66306187754761,2.62602934703631,0.3355
"81",1,1,5,"EQW",1.56572447921701,2.62689623704521,0.674
"82",1,1,6,"EQW",1.15880808637992,2.50691412835888,0.5965
"83",1,1,7,"EQW",1.42677525878136,2.49619763595683,0.679
"84",1,1,8,"EQW",3.25263113643948,3.2242024655281,0.8915
"85",1,1,9,"EQW",3.6053775855073,3.22867008870702,0.8815
"86",1,1,10,"EQW",1.87773110834844,2.66265461165662,0.7155
"87",1,1,11,"EQW",3.23746603369164,3.09055889275245,0.854
"88",1,1,12,"EQW",3.91005228023494,3.26987244093024,0.8895
"89",1,1,13,"EQW",1.50629617446329,2.71481196960355,0.5985
"90",1,1,14,"EQW",10.6984744809249,5.81916695432203,0.99
"91",1,1,15,"EQW",13.2903058077922,6.09928384457636,0.9935
"92",1,1,16,"EQW",3.61797857101252,3.5537713889455,0.5785
"93",1,1,17,"EQW",4.09911311421387,3.22570028993257,0.8145
"94",1,1,18,"EQW",2.37824369991143,2.97869713876003,0.5995
"95",1,1,19,"EQW",2.24070486009579,2.93902885194709,0.6425
"96",1,1,20,"EQW",1.86379954551142,2.97104438612965,0.478
"97",1,1,21,"EQW",5.48414509233032,3.80802455249835,0.8885
"98",1,1,22,"EQW",5.67583876315999,3.89001129787631,0.158
"99",1,1,23,"EQW",4.24101184409334,3.36134028681128,0.1625
"100",1,1,24,"EQW",4.71184488715151,3.37770820598271,0.1555
"101",1,1,25,"EQW",4.63326957330573,3.40578537223931,0.1545
"102",1,1,26,"EQW",9.66606437890792,4.57580930633699,0.0345
"103",1,1,27,"EQW",11.324085346539,5.07892781687707,0.012
"104",1,1,28,"EQW",2.43353699739098,3.13331978936016,0.5045
"105",1,1,29,"EQW",2.457466720723,2.88807697735373,0.3175
"106",1,1,30,"EQW",1.84334271162262,2.84822889466237,0.3875
"107",1,1,31,"EQW",4.28024946877249,3.29248773483024,0.111
"108",1,1,32,"EQW",2.55246858494741,3.01233422406981,0.3045
"109",1,1,33,"EQW",2.19000500942351,2.94237041771189,0.2995
"110",1,1,34,"EQW",2.17460178574479,2.94824390218236,0.2825
"111",1,1,35,"EQW",1.55210936994576,2.74097865574926,0.4065
"112",1,1,36,"EQW",2.43952523693827,2.9171710852327,0.2255
"113",1,1,37,"EQW",3.53027468190983,3.19125498694432,0.179
"114",1,1,38,"EQW",1.73603451276484,2.94918219234759,0.39
"115",1,1,1,"SGP",1.65961823399914,2.9363823874118,0.534
"116",1,1,2,"SGP",1.2513451376164,2.54261433812218,0.3985
"117",1,1,3,"SGP",4.23205374916906,3.6025231552689,0.0495
"118",1,1,4,"SGP",0.999823669850033,2.33630554804953,0.4855
"119",1,1,5,"SGP",2.16178034182485,2.82565416675859,0.8295
"120",1,1,6,"SGP",0.949244132199119,2.31305535310923,0.579
"121",1,1,7,"SGP",1.06591410197732,2.27623139757642,0.6195
"122",1,1,8,"SGP",2.60164254652174,2.73319209758974,0.8745
"123",1,1,9,"SGP",2.54547361311027,2.83483874523352,0.8765
"124",1,1,10,"SGP",0.965769052162327,2.19037766831195,0.617
"125",1,1,11,"SGP",2.52436682937792,2.94683698157306,0.8795
"126",1,1,12,"SGP",3.23096074976769,3.0766128431112,0.92
"127",1,1,13,"SGP",0.848271623509765,2.20470547540793,0.4835
"128",1,1,14,"SGP",10.809171011118,7.62069167241343,1
