"","seq","rep","time","method","crps","logs","pit"
"1",8,1,1,"BMA",13.8129468126323,4.69831282601704,0.8425
"2",8,1,2,"BMA",5.26698633717735,3.95812478133032,0.553
"3",8,1,3,"BMA",6.18869235094273,3.78784550505496,0.7285
"4",8,1,4,"BMA",2.52965845836877,3.16922936626307,0.454
"5",8,1,5,"BMA",1.92909514111614,2.91064617343827,0.375
"6",8,1,6,"BMA",11.6960534427748,5.64860601350904,0.994
"7",8,1,7,"BMA",2.00537844539447,3.0833819482066,0.456
"8",8,1,8,"BMA",1.55018812446098,2.84424719620216,0.516
"9",8,1,9,"BMA",3.1883803744259,3.17861961579534,0.213
"10",8,1,10,"BMA",1.55814396518468,2.7935424288788,0.412
"11",8,1,11,"BMA",6.85365968009775,4.09100023387345,0.0405
"12",8,1,12,"BMA",12.8648456061679,5.94624035078354,0.0065
"13",8,1,13,"BMA",9.97261116105338,4.60459112507833,0.03
"14",8,1,14,"BMA",22.43840746598,7.8450313402449,0.008
"15",8,1,15,"BMA",3.26517929786119,3.56262956073589,0.4475
"16",8,1,16,"BMA",3.04205583703765,3.43700283477643,0.588
"17",8,1,17,"BMA",3.28312709919772,3.38132145347007,0.324
"18",8,1,18,"BMA",4.39870160915179,3.53058009475677,0.181
"19",8,1,19,"BMA",5.02543324231526,3.74259682612193,0.8375
"20",8,1,20,"BMA",3.05624172328687,3.26020627585973,0.697
"21",8,1,21,"BMA",3.97532596706894,3.47054435839274,0.197
"22",8,1,22,"BMA",1.92431152474591,2.98918251603575,0.4475
"23",8,1,23,"BMA",2.07049639346079,3.08552207874874,0.366
"24",8,1,24,"BMA",2.63452534225444,3.14453736937098,0.2905
"25",8,1,25,"BMA",3.08857601798627,3.22647785988805,0.744
"26",8,1,26,"BMA",3.60755395168742,3.28904334284514,0.814
"27",8,1,27,"BMA",1.73117702026548,2.86380671731634,0.5485
"28",8,1,28,"BMA",3.88585812997136,3.23795968370186,0.175
"29",8,1,29,"BMA",3.65068032265889,3.25277738884382,0.7955
"30",8,1,30,"BMA",7.01210873090199,3.95633558277253,0.0635
"31",8,1,31,"BMA",3.58926383317755,3.24184981587998,0.7735
"32",8,1,32,"BMA",3.44422255769835,3.2178690731249,0.7775
"33",8,1,33,"BMA",1.59296758117527,2.85057001636686,0.4095
"34",8,1,34,"BMA",1.67925357807376,2.84644407172341,0.497
"35",8,1,35,"BMA",2.70112577049904,2.93544250106562,0.752
"36",8,1,36,"BMA",1.40366155091843,2.66761150791256,0.4305
"37",8,1,37,"BMA",1.46222350510964,2.62041416850659,0.6415
"38",8,1,38,"BMA",1.54847174285003,2.65248606672272,0.696
"39",8,1,1,"AVS",13.8129468126323,4.60983044587394,0.8525
"40",8,1,2,"AVS",8.8927591889542,4.3986781106703,0.732
"41",8,1,3,"AVS",12.6494225185123,4.60114445846211,0.748
"42",8,1,4,"AVS",4.48089906098935,3.59751881917936,0.3245
"43",8,1,5,"AVS",1.8357770428368,2.86334128653818,0.344
