"","seq","rep","time","method","crps","logs","pit"
"1",9,1,1,"BMA",1.40384029912928,2.54117808554858,0.6965
"2",9,1,2,"BMA",0.810858102108098,2.08865262365528,0.5955
"3",9,1,3,"BMA",1.47202396501577,2.27740971504068,0.16
"4",9,1,4,"BMA",1.09614382466374,2.01623274368795,0.2185
"5",9,1,5,"BMA",1.61050843196515,2.49237987190796,0.1305
"6",9,1,6,"BMA",0.564220614820872,1.86173470450725,0.4745
"7",9,1,7,"BMA",5.32675228175783,5.41379254325731,0.99
"8",9,1,8,"BMA",6.18568636841442,4.2529564274981,0.9165
"9",9,1,9,"BMA",2.13983315455854,2.96490776132461,0.648
"10",9,1,10,"BMA",2.04803828397358,2.78831570226143,0.261
"11",9,1,11,"BMA",1.35284834277545,2.49945483559184,0.3385
"12",9,1,12,"BMA",2.27218459494873,2.78710723077758,0.8315
"13",9,1,13,"BMA",1.03028840898794,2.33819126771552,0.5925
"14",9,1,14,"BMA",0.832515140986654,2.26431516225987,0.4855
"15",9,1,15,"BMA",1.42201414479966,2.38329599848756,0.741
"16",9,1,16,"BMA",1.62532961868063,2.3892571325443,0.224
"17",9,1,17,"BMA",2.33447965201537,2.71487999016894,0.1245
"18",9,1,18,"BMA",0.825867878343201,2.16263522553901,0.441
"19",9,1,19,"BMA",3.50322754335159,3.39456949408354,0.039
"20",9,1,20,"BMA",0.886062111552379,2.1084198939353,0.3845
"21",9,1,21,"BMA",1.28732240425966,2.28739425813718,0.771
"22",9,1,22,"BMA",0.94830833962666,2.14235867241296,0.6895
"23",9,1,23,"BMA",2.33952672903011,2.6391966318541,0.094
"24",9,1,24,"BMA",2.45721318554887,3.04455521232943,0.0745
"25",9,1,25,"BMA",0.857055363210448,2.16722221272234,0.586
"26",9,1,26,"BMA",0.877187497823583,1.99954691778855,0.32
"27",9,1,27,"BMA",3.6188639237258,3.81967181461216,0.973
"28",9,1,28,"BMA",1.72872972260666,2.71010039527138,0.783
"29",9,1,29,"BMA",1.59855094461359,2.32091239645532,0.176
"30",9,1,30,"BMA",0.797158219751288,1.94284656380453,0.298
"31",9,1,31,"BMA",1.83346140481418,2.58456122194532,0.8785
"32",9,1,32,"BMA",0.648943723499924,1.93894854096701,0.5905
"33",9,1,33,"BMA",2.35807309038519,2.7520215098738,0.0605
"34",9,1,34,"BMA",1.26362663331034,2.18015993022803,0.2095
"35",9,1,35,"BMA",2.78665653715164,3.29977088356925,0.045
"36",9,1,36,"BMA",2.15777646058898,2.80324201271654,0.1015
"37",9,1,37,"BMA",1.49864697807802,2.50684117278913,0.213
"38",9,1,38,"BMA",2.08755705253464,2.65666453172039,0.85
"39",9,1,1,"AVS",1.40384029912928,2.50471371181514,0.6955
"40",9,1,2,"AVS",0.826332138290811,2.16424277776394,0.604
"41",9,1,3,"AVS",1.45360490145061,2.29974897020999,0.164
"42",9,1,4,"AVS",1.09348906967538,2.03791662070207,0.208
"43",9,1,5,"AVS",1.62015311482153,2.39260709656249,0.137
"44",9,1,6,"AVS",0.561707275658131,1.76611812212067,0.4545
"45",9,1,7,"AVS",5.30750426022767,5.14447189065036,0.9865
"46",9,1,8,"AVS",7.33063066902068,4.7313362579416,0.945
"47",9,1,9,"AVS",1.40153253609479,2.5417834406009,0.636
"48",9,1,10,"AVS",2.35427742408244,2.85792614906344,0.1415
"49",9,1,11,"AVS",1.29051719985779,2.33690999319008,0.287
"50",9,1,12,"AVS",2.42169726811924,2.88442039465186,0.888
"51",9,1,13,"AVS",0.857157080276679,2.21302384014149,0.4825
"52",9,1,14,"AVS",0.796668921540373,2.09941744607517,0.4195
"53",9,1,15,"AVS",1.32719729940339,2.30724758500436,0.7575
"54",9,1,16,"AVS",2.19769087552423,2.68394986742101,0.128
"55",9,1,17,"AVS",2.16685722469492,2.61966029665464,0.1305
"56",9,1,18,"AVS",0.783055564051451,2.04931808475165,0.5435
"57",9,1,19,"AVS",3.42008523304304,3.31588112216954,0.036
"58",9,1,20,"AVS",0.764195604509336,2.12085266471843,0.5215
"59",9,1,21,"AVS",1.57047751026256,2.3682597971855,0.8085
"60",9,1,22,"AVS",0.784668968092061,2.07430229544922,0.576
"61",9,1,23,"AVS",2.98386441217588,2.97100330641313,0.061
"62",9,1,24,"AVS",2.1183739967145,2.81217203365284,0.129
"63",9,1,25,"AVS",1.31364951183881,2.36110909420306,0.746
"64",9,1,26,"AVS",0.921333110186785,2.06636901482638,0.305
"65",9,1,27,"AVS",3.89725422919739,3.81242052614809,0.9685
"66",9,1,28,"AVS",1.49030253303371,2.66968262693422,0.7425
"67",9,1,29,"AVS",2.29949687097761,2.65599054462655,0.135
"68",9,1,30,"AVS",0.795215021930113,1.97560450739028,0.3025
"69",9,1,31,"AVS",1.85339910529077,2.60966513636494,0.857
"70",9,1,32,"AVS",0.651347990465801,1.92059194265229,0.551
"71",9,1,33,"AVS",2.35461797058479,2.83891455663406,0.0545
"72",9,1,34,"AVS",1.27458240766833,2.05983408684806,0.1915
"73",9,1,35,"AVS",2.76699013393744,3.35289284229862,0.045
"74",9,1,36,"AVS",1.82144819175474,2.59702499377235,0.168
"75",9,1,37,"AVS",0.927522677028221,2.1941213727964,0.367
"76",9,1,38,"AVS",3.25535043527043,3.26351010950052,0.931
"77",9,1,1,"EQW",1.40384029912928,2.5242123404594,0.7045
"78",9,1,2,"EQW",0.829433468259063,2.15481111191153,0.5335
"79",9,1,3,"EQW",1.84197098741419,2.40166138938901,0.1575
"80",9,1,4,"EQW",1.2094168138029,2.19999381703606,0.2685
"81",9,1,5,"EQW",1.58867417854762,2.45312068347987,0.1775
"82",9,1,6,"EQW",0.713782428013464,2.02457815668707,0.5035
"83",9,1,7,"EQW",4.81870609984656,4.39812486097625,0.9635
"84",9,1,8,"EQW",5.9411543415486,4.27365766881335,0.947
"85",9,1,9,"EQW",2.0136619954374,2.74453943404109,0.7545
"86",9,1,10,"EQW",1.89218238986035,2.75430393446936,0.2535
"87",9,1,11,"EQW",1.35684383657856,2.37811496117772,0.3095
"88",9,1,12,"EQW",2.11043957514308,2.7919896304521,0.82
"89",9,1,13,"EQW",0.967200334148046,2.44047803813962,0.473
"90",9,1,14,"EQW",0.950659290995889,2.26658728638626,0.436
"91",9,1,15,"EQW",1.27257081951608,2.51694100121853,0.7085
"92",9,1,16,"EQW",2.11649838953764,2.69822982981702,0.1775
"93",9,1,17,"EQW",2.33124989796473,2.7809434793416,0.136
"94",9,1,18,"EQW",0.883370745594438,2.29994939660736,0.4895
"95",9,1,19,"EQW",3.49562097758912,3.25191571268462,0.0535
"96",9,1,20,"EQW",0.895090268519661,2.25290904459912,0.4395
"97",9,1,21,"EQW",1.44453409926614,2.38859789207679,0.7735
"98",9,1,22,"EQW",0.937120055410656,2.21897513783104,0.6375
"99",9,1,23,"EQW",2.31870233544731,2.65026842543046,0.129
"100",9,1,24,"EQW",1.53792654013642,2.41674117899074,0.209
"101",9,1,25,"EQW",0.926711623817639,2.1815350243672,0.653
"102",9,1,26,"EQW",0.912806587713863,2.20614429869815,0.355
"103",9,1,27,"EQW",4.46908372198253,4.18482293984231,0.9765
"104",9,1,28,"EQW",1.43160879818643,2.53428503608254,0.6685
"105",9,1,29,"EQW",1.56960288494657,2.54631567960056,0.283
"106",9,1,30,"EQW",0.747097897558236,2.07322127827073,0.519
"107",9,1,31,"EQW",2.32832120367685,2.65663402065579,0.8815
"108",9,1,32,"EQW",1.00988911392015,2.42525144245006,0.478
"109",9,1,33,"EQW",1.66775042336245,2.5497356517537,0.21
"110",9,1,34,"EQW",0.785412947878551,2.19773958133793,0.495
"111",9,1,35,"EQW",1.62072735471628,2.52578753698119,0.2325
"112",9,1,36,"EQW",0.907318615397776,2.18647968533632,0.386
"113",9,1,37,"EQW",0.991869488166499,2.31967342287357,0.342
"114",9,1,38,"EQW",2.90256608398321,3.06688305280219,0.9035
"115",9,1,1,"SGP",1.40384029912928,2.52943064603583,0.7125
"116",9,1,2,"SGP",0.761098651673899,2.06812069540986,0.612
"117",9,1,3,"SGP",1.45113501935646,2.3049632504118,0.1515
"118",9,1,4,"SGP",0.979846303209385,2.01269283435141,0.239
"119",9,1,5,"SGP",1.53207019074332,2.40101846046304,0.1305
"120",9,1,6,"SGP",0.537843921923991,1.80985953023148,0.4655
"121",9,1,7,"SGP",5.51907811910904,6.6915321586139,0.9985
"122",9,1,8,"SGP",8.55813556386312,5.36155193334129,0.9865
"123",9,1,9,"SGP",1.87050930183472,2.52250934258806,0.802
"124",9,1,10,"SGP",2.43071827699425,2.82180941977622,0.1285
"125",9,1,11,"SGP",1.2151020638302,2.28625192124165,0.278
"126",9,1,12,"SGP",2.47556474449274,2.81954775035908,0.9025
"127",9,1,13,"SGP",0.829720207178702,2.01338507316528,0.4035
"128",9,1,14,"SGP",0.831733428882165,2.07994856720444,0.3805
