"","model","wt","upp","low","week","alpha","step","rep"
"5273","arima",0.0657230253885686,0.273330025,0.00150302425,32,1,1,18
"5274","asg",0.0081533341595849,0.0305635875,0.0002044793,32,1,1,18
"5275","naive",0.9231045314396,0.992284025,0.7155381,32,1,1,18
"5276","sir",0.00301910694612457,0.0112777325,7.5714095e-05,32,1,1,18
"5277","arima",0.31810884332,0.392211075,0.24791935,32,50,1,18
"5278","asg",0.21193482184,0.270853,0.159209775,32,50,1,18
"5279","naive",0.34713830096,0.4223071,0.274555425,32,50,1,18
"5280","sir",0.122818033026,0.160198075,0.090360555,32,50,1,18
"5281","arima",0.0645775212179766,0.262332125,0.00138470625,33,1,1,18
"5282","asg",0.00830474070283821,0.0307185575,0.000212803775,33,1,1,18
"5283","naive",0.9242085164934,0.99212505,0.7266514,33,1,1,18
"5284","sir",0.00290922131927177,0.01087062,6.63043075e-05,33,1,1,18
"5285","arima",0.31824728604,0.392579225,0.248062925,33,50,1,18
"5286","asg",0.21453221012,0.27382405,0.161242975,33,50,1,18
"5287","naive",0.3474411731,0.421791525,0.275365,33,50,1,18
"5288","sir",0.119779331316,0.156419075,0.0880731725,33,50,1,18
"5289","arima",0.0681954798277988,0.282471075,0.00149355025,34,1,1,18
"5290","asg",0.00851455156135673,0.0312531075,0.000207361025,34,1,1,18
"5291","naive",0.9204701280682,0.9919851,0.705468125,34,1,1,18
"5292","sir",0.00281984465840376,0.0104250175,6.9243485e-05,34,1,1,18
"5293","arima",0.3188244811,0.393317025,0.248431525,34,50,1,18
"5294","asg",0.21675274808,0.27626715,0.163087925,34,50,1,18
"5295","naive",0.3474074351,0.422444175,0.27517365,34,50,1,18
"5296","sir",0.11701533423,0.15224505,0.08651886,34,50,1,18
"5297","arima",0.0692760738148518,0.28589095,0.00154618425,35,1,1,18
"5298","asg",0.00878394422767544,0.0324295275,0.0002181426,35,1,1,18
"5299","naive",0.9191885928284,0.991906025,0.70130115,35,1,1,18
"5300","sir",0.00275139109738146,0.010082445,7.15463375e-05,35,1,1,18
"5301","arima",0.31784446014,0.3912124,0.248049975,35,50,1,18
"5302","asg",0.22050131034,0.28041925,0.165901875,35,50,1,18
"5303","naive",0.3461058394,0.420902775,0.2737416,35,50,1,18
"5304","sir",0.115548394014,0.150886125,0.0850335925,35,50,1,18
"5305","arima",0.0668077649886737,0.275048475,0.00141194025,36,1,1,18
"5306","asg",0.00922221060307608,0.034770445,0.0002327162,36,1,1,18
"5307","naive",0.921215307988,0.991908075,0.712122075,36,1,1,18
"5308","sir",0.00275471460067732,0.0101156175,7.26136075e-05,36,1,1,18
"5309","arima",0.31662675648,0.39062105,0.24680685,36,50,1,18
"5310","asg",0.2228286967,0.28373725,0.167672925,36,50,1,18
"5311","naive",0.34559424824,0.419873325,0.272892875,36,50,1,18
"5312","sir",0.114950302678,0.150494475,0.0847126775,36,50,1,18
"5313","arima",0.0632850433653564,0.2577717,0.001431632,37,1,1,18
"5314","asg",0.00954926571745488,0.0353816425,0.0002418299,37,1,1,18
"5315","naive",0.9244367665522,0.99188,0.73018415,37,1,1,18
"5316","sir",0.0027289224756826,0.01013575,7.066083e-05,37,1,1,18
"5317","arima",0.3150590346,0.390011075,0.245391,37,50,1,18
"5318","asg",0.22604963194,0.287610525,0.170443775,37,50,1,18
"5319","naive",0.34495915382,0.41982415,0.272418975,37,50,1,18
"5320","sir",0.113932177686,0.148730025,0.0835003825,37,50,1,18
"5321","arima",0.0631966337063495,0.257066125,0.00143035475,38,1,1,18
"5322","asg",0.00972579216386056,0.0360399575,0.000258348625,38,1,1,18
"5323","naive",0.924441982726,0.992009,0.72890355,38,1,1,18
"5324","sir",0.00263559290488586,0.0096562575,7.130975e-05,38,1,1,18
"5325","arima",0.31538178192,0.38973335,0.245457775,38,50,1,18
"5326","asg",0.2278481418,0.2896261,0.172345975,38,50,1,18
"5327","naive",0.3452572412,0.420370425,0.272357775,38,50,1,18
"5328","sir",0.111512835326,0.14557105,0.0821472525,38,50,1,18
"5329","arima",0.389156668501488,0.847884375,0.0181559725,2,1,1,20
"5330","asg",0.202028906893591,0.644403375,0.00562336225,2,1,1,20
"5331","naive",0.321625339062875,0.80366375,0.01185293,2,1,1,20
"5332","sir",0.0871890888364927,0.324737275,0.00201841125,2,1,1,20
"5333","arima",0.25390992186,0.316433425,0.195725525,2,50,1,20
"5334","asg",0.25064908026,0.3124341,0.193833825,2,50,1,20
"5335","naive",0.25322140526,0.31594205,0.195118,2,50,1,20
"5336","sir",0.24221959474,0.30316225,0.185876825,2,50,1,20
"5337","arima",0.489877715660162,0.900474375,0.0343800875,3,1,1,20
"5338","asg",0.141530198705175,0.499694175,0.00397176225,3,1,1,20
"5339","naive",0.322199354431202,0.82933285,0.010869095,3,1,1,20
"5340","sir",0.0463927291459212,0.174162175,0.0011529375,3,1,1,20
"5341","arima",0.25817231478,0.32101205,0.2001149,3,50,1,20
"5342","asg",0.25088794244,0.313103475,0.193215,3,50,1,20
"5343","naive",0.25626505286,0.3192961,0.198363,3,50,1,20
"5344","sir",0.2346746894,0.294192675,0.180254,3,50,1,20
"5345","arima",0.574366304057118,0.9265822,0.063903115,4,1,1,20
"5346","asg",0.120763708178283,0.441673875,0.0031712705,4,1,1,20
"5347","naive",0.270003101396388,0.79568015,0.00804535425,4,1,1,20
"5348","sir",0.0348668825787038,0.12899085,0.00090858265,4,1,1,20
"5349","arima",0.26065490344,0.324204325,0.201587,4,50,1,20
"5350","asg",0.25167759696,0.3142442,0.194057325,4,50,1,20
"5351","naive",0.2570310807,0.320461225,0.19853755,4,50,1,20
"5352","sir",0.23063641842,0.290498025,0.17591,4,50,1,20
"5353","arima",0.486575007044491,0.9199221,0.023445505,5,1,1,20
"5354","asg",0.10437158628645,0.3795745,0.00264166275,5,1,1,20
"5355","naive",0.377631894301938,0.888876625,0.01163721,5,1,1,20
"5356","sir",0.031421514225242,0.1172901,0.000764864875,5,1,1,20
"5357","arima",0.25997075336,0.324335125,0.200699975,5,50,1,20
"5358","asg",0.25103542748,0.3132662,0.193072925,5,50,1,20
"5359","naive",0.2601602726,0.32406105,0.2014699,5,50,1,20
"5360","sir",0.22883354808,0.28794925,0.174954,5,50,1,20
"5361","arima",0.150399528873322,0.7261664,0.00285641025,6,1,1,20
"5362","asg",0.0703204414549658,0.26940765,0.00163855225,6,1,1,20
"5363","naive",0.75001577391602,0.962415675,0.149451775,6,1,1,20
"5364","sir",0.0292642538983532,0.10866815,0.000726599975,6,1,1,20
"5365","arima",0.25711459024,0.320900075,0.1984337,6,50,1,20
"5366","asg",0.24965184112,0.311747075,0.192213925,6,50,1,20
"5367","naive",0.26460345874,0.3288362,0.204898,6,50,1,20
"5368","sir",0.22863011432,0.28744025,0.174569925,6,50,1,20
"5369","arima",0.224226387699816,0.899780925,0.003191159,7,1,1,20
"5370","asg",0.0446645454615694,0.1669086,0.001112364,7,1,1,20
"5371","naive",0.705339733892248,0.9663081,0.037361465,7,1,1,20
"5372","sir",0.0257693323428715,0.09585764,0.000624140675,7,1,1,20
"5373","arima",0.2619561978,0.326701075,0.2017108,7,50,1,20
"5374","asg",0.24343982332,0.304146075,0.186923875,7,50,1,20
"5375","naive",0.267663737,0.3324543,0.207210925,7,50,1,20
"5376","sir",0.2269402417,0.285604025,0.172667725,7,50,1,20
"5377","arima",0.1033210458001,0.74362225,0.00178569975,8,1,1,20
"5378","asg",0.0303574423731027,0.1138554,0.000756391750000001,8,1,1,20
"5379","naive",0.8442009032614,0.9776563,0.195386175,8,1,1,20
"5380","sir",0.022120611172058,0.082228485,0.000569799025,8,1,1,20
"5381","arima",0.26283873654,0.32814605,0.202413425,8,50,1,20
"5382","asg",0.23924815622,0.300393125,0.183447925,8,50,1,20
"5383","naive",0.27355301368,0.339669325,0.212112,8,50,1,20
"5384","sir",0.2243600912,0.28320045,0.171314825,8,50,1,20
"5385","arima",0.0828808748492186,0.439214225,0.0015743135,9,1,1,20
"5386","asg",0.0249083708526602,0.0935885425,0.000603827725,9,1,1,20
"5387","naive",0.87187763514326,0.9801692,0.50753945,9,1,1,20
"5388","sir",0.0203331197615026,0.0759574875,0.000504348275,9,1,1,20
"5389","arima",0.26460015058,0.329703675,0.203777425,9,50,1,20
"5390","asg",0.23418486268,0.29431915,0.179186925,9,50,1,20
"5391","naive",0.27722551768,0.344308,0.214343975,9,50,1,20
"5392","sir",0.22398946708,0.282466175,0.17054035,9,50,1,20
"5393","arima",0.0857630469266772,0.468418150000001,0.00147644875,10,1,1,20
"5394","asg",0.0222408507313125,0.083359655,0.0005339978,10,1,1,20
"5395","naive",0.87516696872168,0.98197835,0.483581375,10,1,1,20
"5396","sir",0.0168291337967285,0.0622677725,0.000425655725,10,1,1,20
"5397","arima",0.26863399932,0.334300275,0.207021675,10,50,1,20
"5398","asg",0.2319673171,0.29118925,0.17745885,10,50,1,20
"5399","naive",0.28134461908,0.3486901,0.2186495,10,50,1,20
"5400","sir",0.21805406222,0.27531335,0.1656056,10,50,1,20
"5401","arima",0.0871647423655738,0.449386275,0.001644172,11,1,1,20
"5402","asg",0.0212721413963887,0.0794211525,0.000554598275,11,1,1,20
"5403","naive",0.876513433309632,0.98241605,0.5076927,11,1,1,20
"5404","sir",0.0150496807931156,0.0560961125,0.0003756245,11,1,1,20
"5405","arima",0.27142522762,0.337534025,0.20973285,11,50,1,20
"5406","asg",0.23152188644,0.291042175,0.17706675,11,50,1,20
"5407","naive",0.28335697444,0.35011835,0.2203537,11,50,1,20
"5408","sir",0.21369591208,0.270961075,0.162646,11,50,1,20
"5409","arima",0.0916954793124878,0.519713525,0.00164213175,12,1,1,20
"5410","asg",0.0197771232776871,0.0739332,0.000521892325,12,1,1,20
"5411","naive",0.873854019169,0.982830175,0.438479175,12,1,1,20
"5412","sir",0.0146733799933535,0.0543845100000001,0.000364074375,12,1,1,20
"5413","arima",0.27308673752,0.339483,0.211934775,12,50,1,20
"5414","asg",0.22894371898,0.288011125,0.175319325,12,50,1,20
"5415","naive",0.28491254004,0.352666925,0.22242185,12,50,1,20
"5416","sir",0.2130570039,0.2704784,0.161206625,12,50,1,20
"5417","arima",0.102828895056155,0.664452950000001,0.0018612115,13,1,1,20
"5418","asg",0.0171013776892216,0.0641370275,0.000421916975,13,1,1,20
"5419","naive",0.8664716405017,0.983657025,0.299994475,13,1,1,20
"5420","sir",0.0135980874702805,0.0503423050000001,0.00034617165,13,1,1,20
"5421","arima",0.2762088403,0.343466025,0.2130405,13,50,1,20
"5422","asg",0.22524317092,0.283687,0.171715775,13,50,1,20
"5423","naive",0.28813885608,0.3561883,0.224336975,13,50,1,20
"5424","sir",0.210409136974,0.2662352,0.159683875,13,50,1,20
"5425","arima",0.114146186606296,0.77875935,0.00195922575,14,1,1,20
"5426","asg",0.0144589839144015,0.0536227675,0.000329959975,14,1,1,20
"5427","naive",0.859043113804992,0.98452905,0.194397925,14,1,1,20
"5428","sir",0.0123517143653271,0.04588356,0.00029030445,14,1,1,20
"5429","arima",0.28077184606,0.34759525,0.217761,14,50,1,20
"5430","asg",0.22007445402,0.27828905,0.167703875,14,50,1,20
"5431","naive",0.29145387308,0.35899405,0.2271807,14,50,1,20
"5432","sir",0.207699830794,0.26347915,0.157705675,14,50,1,20
"5433","arima",0.129301250072745,0.8673581,0.0020256645,15,1,1,20
"5434","asg",0.0126587066658055,0.0469292,0.0003203551,15,1,1,20
"5435","naive",0.846607956455266,0.985390025,0.107136175,15,1,1,20
"5436","sir",0.0114320863476475,0.042597505,0.00028123455,15,1,1,20
"5437","arima",0.28348341204,0.3513912,0.21941285,15,50,1,20
"5438","asg",0.21542840172,0.272476175,0.162887,15,50,1,20
"5439","naive",0.29508453758,0.36445,0.230147575,15,50,1,20
"5440","sir",0.20600365532,0.261505425,0.15648585,15,50,1,20
"5441","arima",0.122644668978275,0.8346414,0.00189660275,16,1,1,20
"5442","asg",0.0116536584443914,0.043135075,0.000304302925,16,1,1,20
"5443","naive",0.854845965289282,0.986188125,0.1417276,16,1,1,20
"5444","sir",0.0108557076255073,0.0397340275,0.0002728389,16,1,1,20
"5445","arima",0.28708497698,0.355614225,0.22267385,16,50,1,20
"5446","asg",0.21106943754,0.26813715,0.159588825,16,50,1,20
"5447","naive",0.2980281699,0.367516225,0.2332104,16,50,1,20
"5448","sir",0.2038174199,0.259362225,0.153837925,16,50,1,20
"5449","arima",0.240336026565757,0.96203335,0.0026367955,17,1,1,20
"5450","asg",0.0102805967586447,0.0384882475,0.000252755925,17,1,1,20
"5451","naive",0.739179830721159,0.9849971,0.0193867225,17,1,1,20
"5452","sir",0.010203548407078,0.03784525,0.00026657285,17,1,1,20
"5453","arima",0.29184261546,0.361200125,0.22742495,17,50,1,20
"5454","asg",0.20470020846,0.25983305,0.155265675,17,50,1,20
"5455","naive",0.30150431552,0.37056925,0.23628235,17,50,1,20
"5456","sir",0.2019528627,0.256593125,0.152669525,17,50,1,20
"5457","arima",0.231690516295536,0.966778475,0.00248120525,18,1,1,20
"5458","asg",0.00846867893505148,0.0311580125,0.00021714075,18,1,1,20
"5459","naive",0.750481294436915,0.986484075,0.0172830825,18,1,1,20
"5460","sir",0.0093595086411802,0.0345760975,0.0002452552,18,1,1,20
"5461","arima",0.29562801738,0.365769925,0.22947485,18,50,1,20
"5462","asg",0.19583827359,0.250104,0.14783185,18,50,1,20
"5463","naive",0.30860767118,0.3794151,0.241329675,18,50,1,20
"5464","sir",0.19992603332,0.254234375,0.1513109,18,50,1,20
"5465","arima",0.207211334453384,0.962358225,0.0022796375,19,1,1,20
"5466","asg",0.00760810193598683,0.02803534,0.000191081325,19,1,1,20
"5467","naive",0.776337484103106,0.987600075,0.02182783,19,1,1,20
"5468","sir",0.00884307732544544,0.032920725,0.000214835725,19,1,1,20
"5469","arima",0.30028945624,0.371835025,0.233062725,19,50,1,20
"5470","asg",0.18883882006,0.240994675,0.142337,19,50,1,20
"5471","naive",0.3131376628,0.38449915,0.2448077,19,50,1,20
"5472","sir",0.19773405758,0.2513764,0.14954695,19,50,1,20
"5473","arima",0.125357127841174,0.90273625,0.0019730085,20,1,1,20
"5474","asg",0.00723753465221159,0.0271248775,0.000185515175,20,1,1,20
"5475","naive",0.858634808391538,0.988749,0.08113657,20,1,1,20
"5476","sir",0.0087705290673374,0.0327076175,0.00023149075,20,1,1,20
"5477","arima",0.29943774102,0.370631625,0.2327677,20,50,1,20
"5478","asg",0.186575521636,0.23798825,0.140674875,20,50,1,20
"5479","naive",0.31629630836,0.38787015,0.248081975,20,50,1,20
"5480","sir",0.19769042942,0.25182115,0.148517325,20,50,1,20
"5481","arima",0.129154513835108,0.902865825,0.00171189875,21,1,1,20
"5482","asg",0.00714379467112144,0.0266290825,0.00017786465,21,1,1,20
"5483","naive",0.855383505282088,0.98912305,0.08267752,21,1,1,20
"5484","sir",0.00831818679588797,0.03111151,0.0002062269,21,1,1,20
"5485","arima",0.30287089868,0.3743761,0.23639685,21,50,1,20
"5486","asg",0.185154546378,0.23702435,0.139270975,21,50,1,20
"5487","naive",0.31858470376,0.39035435,0.250677775,21,50,1,20
"5488","sir",0.19338984918,0.246685975,0.1455285,21,50,1,20
"5489","arima",0.131858219632593,0.909758125,0.0020159635,22,1,1,20
"5490","asg",0.00693881358329405,0.0255364625,0.000170848775,22,1,1,20
"5491","naive",0.85334847781337,0.98895805,0.076556295,22,1,1,20
"5492","sir",0.0078544873880405,0.02857217,0.000206081875,22,1,1,20
"5493","arima",0.30564301234,0.377187675,0.23816895,22,50,1,20
"5494","asg",0.183720940586,0.2352891,0.137427975,22,50,1,20
"5495","naive",0.32083071634,0.392951275,0.25267395,22,50,1,20
"5496","sir",0.18980532806,0.242458125,0.142385925,22,50,1,20
"5497","arima",0.126464837304167,0.88913895,0.00191491475,23,1,1,20
"5498","asg",0.00690755960594819,0.0253589425,0.000163504725,23,1,1,20
"5499","naive",0.85902503204892,0.9892101,0.0958407150000001,23,1,1,20
"5500","sir",0.00760257067703696,0.028198735,0.000180978875,23,1,1,20
"5501","arima",0.3064364208,0.378218025,0.238749975,23,50,1,20
"5502","asg",0.182656658394,0.233839275,0.13743365,23,50,1,20
"5503","naive",0.32243776254,0.394420075,0.2537619,23,50,1,20
"5504","sir",0.188469160158,0.240272075,0.14161785,23,50,1,20
"5505","arima",0.131869132411631,0.90046625,0.001931163,24,1,1,20
"5506","asg",0.00665151994580986,0.0246047525,0.000159125925,24,1,1,20
"5507","naive",0.85390253244284,0.98933,0.0859884025,24,1,1,20
"5508","sir",0.00757681422635802,0.0280302,0.000197028575,24,1,1,20
"5509","arima",0.30796804334,0.37921535,0.2407975,24,50,1,20
"5510","asg",0.181110434996,0.23197905,0.13608295,24,50,1,20
"5511","naive",0.3240811493,0.39572925,0.25531095,24,50,1,20
"5512","sir",0.18684037358,0.23823805,0.1406834,24,50,1,20
"5513","arima",0.138024316095477,0.908024075,0.00190764575,25,1,1,20
"5514","asg",0.00667287915695352,0.02438291,0.00017095175,25,1,1,20
"5515","naive",0.8479149531045,0.989197025,0.0780549825,25,1,1,20
"5516","sir",0.00738785288209742,0.0274209275,0.0001871828,25,1,1,20
"5517","arima",0.30936157692,0.380335325,0.24097775,25,50,1,20
"5518","asg",0.180219330958,0.23132605,0.1352779,25,50,1,20
"5519","naive",0.32446254038,0.396742075,0.255758525,25,50,1,20
"5520","sir",0.1859565497,0.2378191,0.14026085,25,50,1,20
"5521","arima",0.145764248041093,0.915479325,0.001937878,26,1,1,20
"5522","asg",0.0065778677276369,0.023879245,0.000174867475,26,1,1,20
"5523","naive",0.840248543674138,0.98907905,0.071360945,26,1,1,20
"5524","sir",0.00740934327449518,0.0275803325,0.000184976975,26,1,1,20
"5525","arima",0.30979210982,0.382114125,0.24174845,26,50,1,20
"5526","asg",0.179559709566,0.22989225,0.134247975,26,50,1,20
"5527","naive",0.32518538022,0.39742015,0.255570475,26,50,1,20
"5528","sir",0.18546280178,0.237182025,0.1393648,26,50,1,20
"5529","arima",0.152415678645912,0.92307085,0.00213190375,27,1,1,20
"5530","asg",0.00655765986089896,0.024284535,0.0001635886,27,1,1,20
"5531","naive",0.833764543367094,0.988924325,0.0632295875,27,1,1,20
"5532","sir",0.00726211476632538,0.026971605,0.000196642025,27,1,1,20
"5533","arima",0.3109177919,0.383318025,0.24259785,27,50,1,20
"5534","asg",0.178663936132,0.22924325,0.1338839,27,50,1,20
"5535","naive",0.3259839648,0.398578125,0.257034925,27,50,1,20
"5536","sir",0.1844343074,0.2356361,0.13891775,27,50,1,20
"5537","arima",0.149802161174746,0.918264225,0.00226244375,28,1,1,20
"5538","asg",0.00650706135721784,0.023897325,0.00017022625,28,1,1,20
"5539","naive",0.83650290262904,0.988982075,0.0675953425,28,1,1,20
"5540","sir",0.00718787660443936,0.02676404,0.000171725275,28,1,1,20
"5541","arima",0.3119813374,0.3842263,0.243422975,28,50,1,20
"5542","asg",0.178286803548,0.22864035,0.13406795,28,50,1,20
"5543","naive",0.32632540482,0.3981973,0.257391,28,50,1,20
"5544","sir",0.183406450318,0.234533625,0.13783865,28,50,1,20
"5545","arima",0.0823293658663864,0.422587625,0.00140283875,29,1,1,20
"5546","asg",0.00625064108629526,0.023193865,0.0001585252,29,1,1,20
"5547","naive",0.9046956201111,0.990787025,0.5652884,29,1,1,20
"5548","sir",0.00672437164805937,0.0248927925,0.000173319475,29,1,1,20
"5549","arima",0.30916841102,0.3809351,0.24144295,29,50,1,20
"5550","asg",0.177661409316,0.227898175,0.133093975,29,50,1,20
"5551","naive",0.33223357574,0.405275025,0.262284225,29,50,1,20
"5552","sir",0.180936605576,0.23147105,0.136305175,29,50,1,20
"5553","arima",0.0829665019215282,0.41196595,0.00157796775,30,1,1,20
"5554","asg",0.00606354729785967,0.0224711575,0.000144401375,30,1,1,20
"5555","naive",0.90462283994387,0.990951,0.576016975,30,1,1,20
"5556","sir",0.00634711118614351,0.0235144075,0.000170520725,30,1,1,20
"5557","arima",0.31194265686,0.3846925,0.24308385,30,50,1,20
"5558","asg",0.175842846664,0.225499175,0.13169495,30,50,1,20
"5559","naive",0.33489024454,0.40831555,0.2647599,30,50,1,20
"5560","sir",0.177324249752,0.227262,0.1326148,30,50,1,20
"5561","arima",0.0856082431985392,0.44162145,0.0015990505,31,1,1,20
"5562","asg",0.00558657612764104,0.0206110325,0.000145980875,31,1,1,20
"5563","naive",0.902962460004228,0.991214275,0.5480579,31,1,1,20
"5564","sir",0.00584272283076974,0.0215201075,0.000152341475,31,1,1,20
"5565","arima",0.31503415158,0.387788175,0.246260825,31,50,1,20
"5566","asg",0.173524655672,0.2226051,0.129699925,31,50,1,20
"5567","naive",0.33769768614,0.41070835,0.267640425,31,50,1,20
"5568","sir",0.173743504892,0.223210025,0.129456775,31,50,1,20
"5569","arima",0.091308628366594,0.493307275000001,0.001697077,32,1,1,20
"5570","asg",0.00564728198375417,0.0209232175,0.00013483425,32,1,1,20
"5571","naive",0.89729557539116,0.991073075,0.494730525,32,1,1,20
"5572","sir",0.00574851362855486,0.0209327925,0.000150226125,32,1,1,20
"5573","arima",0.31559729214,0.38938705,0.245817875,32,50,1,20
"5574","asg",0.174253626412,0.224005275,0.1301969,32,50,1,20
"5575","naive",0.33711655562,0.41121505,0.266106925,32,50,1,20
"5576","sir",0.17303252642,0.222598025,0.129022825,32,50,1,20
"5577","arima",0.0924762620653428,0.522396625000001,0.00172360975,33,1,1,20
"5578","asg",0.00567816661292828,0.0208510075,0.000147808725,33,1,1,20
"5579","naive",0.89614011449416,0.991129075,0.46736925,33,1,1,20
"5580","sir",0.0057054553943872,0.0211237175,0.00015352055,33,1,1,20
"5581","arima",0.31624921918,0.389277075,0.246706975,33,50,1,20
"5582","asg",0.174354118882,0.224427075,0.13054885,33,50,1,20
"5583","naive",0.33742070788,0.411394175,0.2673025,33,50,1,20
"5584","sir",0.171975953116,0.2209382,0.12857485,33,50,1,20
"5585","arima",0.0988916560714728,0.58293325,0.00190436525,34,1,1,20
"5586","asg",0.00564571255266556,0.02071208,0.000144061775,34,1,1,20
"5587","naive",0.88988218368362,0.990684,0.40512085,34,1,1,20
"5588","sir",0.00558044593832111,0.02072247,0.000135431125,34,1,1,20
"5589","arima",0.31757448734,0.3911422,0.24756395,34,50,1,20
"5590","asg",0.17406155866,0.223720025,0.130120925,34,50,1,20
"5591","naive",0.3380110122,0.410956025,0.267260725,34,50,1,20
"5592","sir",0.170352939416,0.2189202,0.127615925,34,50,1,20
"5593","arima",0.101414340823527,0.642299875000002,0.001804381,35,1,1,20
"5594","asg",0.00556995076393884,0.020749665,0.0001408899,35,1,1,20
"5595","naive",0.887694632474712,0.9912521,0.348024975,35,1,1,20
"5596","sir",0.00532107670117744,0.0196590175,0.000126597625,35,1,1,20
"5597","arima",0.3196279809,0.3929241,0.2500205,35,50,1,20
"5598","asg",0.173126918772,0.222470075,0.1292078,35,50,1,20
"5599","naive",0.34024866202,0.414024,0.269415975,35,50,1,20
"5600","sir",0.166996440838,0.21495805,0.124928725,35,50,1,20
"5601","arima",0.106433095452819,0.701981475,0.001815486,36,1,1,20
"5602","asg",0.00524704231655454,0.01942234,0.0001310575,36,1,1,20
"5603","naive",0.883316634922614,0.991254125,0.2880303,36,1,1,20
"5604","sir",0.00500322665593792,0.0185074575,0.0001255809,36,1,1,20
"5605","arima",0.3240462059,0.3980911,0.2534374,36,50,1,20
"5606","asg",0.169429326542,0.218860925,0.126375975,36,50,1,20
"5607","naive",0.34469524206,0.419772075,0.2730019,36,50,1,20
"5608","sir",0.161829229694,0.209002275,0.120586925,36,50,1,20
"5609","arima",0.108807431119584,0.700808475,0.00176868975,37,1,1,20
"5610","asg",0.00463543562419158,0.017167155,0.000115473225,37,1,1,20
"5611","naive",0.8822046122607,0.992038025,0.2887163,37,1,1,20
"5612","sir",0.00435252284512752,0.016105305,0.00010404955,37,1,1,20
"5613","arima",0.33184395316,0.406910625,0.26042885,37,50,1,20
"5614","asg",0.161694590654,0.208964225,0.120408925,37,50,1,20
"5615","naive",0.35199668724,0.427372225,0.2794278,37,50,1,20
"5616","sir",0.154464767226,0.19979425,0.11474325,37,50,1,20
"5617","arima",0.111237265474787,0.709915825,0.00195836475,38,1,1,20
"5618","asg",0.0041783946386908,0.015515005,0.000101212525,38,1,1,20
"5619","naive",0.880577573619758,0.9921961,0.282940875,38,1,1,20
"5620","sir",0.00400676616853044,0.014711,9.91665325e-05,38,1,1,20
"5621","arima",0.33950523424,0.416158675,0.26700735,38,50,1,20
"5622","asg",0.15360127839,0.198491175,0.113985,38,50,1,20
"5623","naive",0.35907509752,0.4361644,0.285566625,38,50,1,20
"5624","sir",0.14781839105,0.191407375,0.109853975,38,50,1,20
"5625","arima",0.320816576824472,0.82673915,0.010431025,2,1,1,21
"5626","asg",0.0570182255242012,0.210735625,0.00144953975,2,1,1,21
"5627","naive",0.375500721274096,0.860935425,0.0145922575,2,1,1,21
"5628","sir",0.246664477036694,0.8220761,0.0054273655,2,1,1,21
"5629","arima",0.25490206764,0.318013125,0.196221825,2,50,1,21
"5630","asg",0.23725024948,0.297929225,0.182049725,2,50,1,21
"5631","naive",0.25562171636,0.318835325,0.1969017,2,50,1,21
"5632","sir",0.25222596288,0.3145561,0.1941679,2,50,1,21
"5633","arima",0.8106549433936,0.966107075,0.458469075,3,1,1,21
"5634","asg",0.0350195439370519,0.1312136,0.000860168325,3,1,1,21
"5635","naive",0.0635733647055244,0.24669095,0.00145283625,3,1,1,21
"5636","sir",0.0907521494791768,0.388838975,0.00199966325,3,1,1,21
"5637","arima",0.26498544204,0.329413275,0.205492,3,50,1,21
"5638","asg",0.23408658764,0.294197875,0.179162975,3,50,1,21
"5639","naive",0.24690534636,0.308972025,0.18980695,3,50,1,21
"5640","sir",0.25402262012,0.317112075,0.195688725,3,50,1,21
"5641","arima",0.94233962488,0.9884052,0.857833875,4,1,1,21
"5642","asg",0.0220717683215657,0.0813183725000002,0.0005499501,4,1,1,21
"5643","naive",0.0160159468227377,0.0609464,0.000387716325,4,1,1,21
"5644","sir",0.019572662131734,0.073276385,0.000490107275,4,1,1,21
"5645","arima",0.28489890668,0.3535731,0.221258825,4,50,1,21
"5646","asg",0.23543395926,0.296495275,0.180164975,4,50,1,21
"5647","naive",0.23327057228,0.292898175,0.178096975,4,50,1,21
"5648","sir",0.24639656036,0.30908605,0.188833625,4,50,1,21
"5649","arima",0.96369081578,0.992731025,0.909430675,5,1,1,21
"5650","asg",0.0160583732856115,0.05996917,0.000399275775,5,1,1,21
"5651","naive",0.00965554968265364,0.035824955,0.00025861675,5,1,1,21
"5652","sir",0.0105952594887096,0.0401097925,0.00026466115,5,1,1,21
"5653","arima",0.29981177382,0.37044815,0.2333707,5,50,1,21
"5654","asg",0.23056092172,0.290815075,0.176049975,5,50,1,21
"5655","naive",0.2302296778,0.29152515,0.17418985,5,50,1,21
"5656","sir",0.23939762838,0.300909025,0.183003775,5,50,1,21
"5657","arima",0.9725409941,0.994540025,0.932674975,6,1,1,21
"5658","asg",0.0112861047444091,0.04224172,0.00026736485,6,1,1,21
"5659","naive",0.00773769724125014,0.0286029625,0.00018518645,6,1,1,21
"5660","sir",0.00843520289851866,0.03120515,0.0002175533,6,1,1,21
"5661","arima",0.32631620626,0.400382,0.255894,6,50,1,21
"5662","asg",0.21891186934,0.277185325,0.16582895,6,50,1,21
"5663","naive",0.2220865646,0.281603225,0.168043925,6,50,1,21
"5664","sir",0.23268536074,0.2939594,0.1768039,6,50,1,21
"5665","arima",0.9784835827,0.995588025,0.947422,7,1,1,21
"5666","asg",0.00860714312566239,0.03194506,0.000208668425,7,1,1,21
"5667","naive",0.00631810692891402,0.023467385,0.00015186725,7,1,1,21
"5668","sir",0.00659116587988383,0.0241882675,0.0001739429,7,1,1,21
