"","model","wt","upp","low","week","alpha","step","rep"
"82","asg",0.0146663524616789,0.0544471650000001,0.00035618835,12,1,1,1
"83","naive",0.633203988699254,0.976123225,0.02965529,12,1,1,1
"84","sir",0.00783937548933512,0.02924504,0.000195550925,12,1,1,1
"85","arima",0.29484612154,0.3634971,0.229036925,12,50,1,1
"86","asg",0.22789619656,0.2870111,0.17337595,12,50,1,1
"87","naive",0.29503869066,0.364407,0.23056895,12,50,1,1
"88","sir",0.182218992916,0.23302305,0.137217575,12,50,1,1
"89","arima",0.404097509611778,0.957735275,0.00913822,13,1,1,1
"90","asg",0.0150333425391416,0.0558272625,0.000368626875,13,1,1,1
"91","naive",0.573276349040018,0.973365075,0.02090553,13,1,1,1
"92","sir",0.00759279926181678,0.0283775,0.000194542175,13,1,1,1
"93","arima",0.29646097528,0.364978,0.230925975,13,50,1,1
"94","asg",0.22888479004,0.2885903,0.174581725,13,50,1,1
"95","naive",0.29526805754,0.36506475,0.229623375,13,50,1,1
"96","sir",0.17938617902,0.229375725,0.13500345,13,50,1,1
"97","arima",0.484108264826512,0.966997225,0.0135033475,14,1,1,1
"98","asg",0.0152309622181456,0.0565475525000001,0.000403481825,14,1,1,1
"99","naive",0.493176329660948,0.967397075,0.01347042,14,1,1,1
"100","sir",0.00748444359299718,0.0276028325,0.0001835943,14,1,1,1
"101","arima",0.29747848206,0.366448075,0.232292475,14,50,1,1
"102","asg",0.22976195172,0.288798,0.174953775,14,50,1,1
"103","naive",0.29528059142,0.36468015,0.230599975,14,50,1,1
"104","sir",0.177478976434,0.226424175,0.13417885,14,50,1,1
"105","arima",0.548429044624869,0.971033025,0.01700865,15,1,1,1
"106","asg",0.0155434612388838,0.057626295,0.0004172444,15,1,1,1
"107","naive",0.428619829209316,0.962709025,0.0102446975,15,1,1,1
"108","sir",0.00740766321943181,0.0269860675,0.0001954034,15,1,1,1
"109","arima",0.2977437402,0.366440025,0.23249295,15,50,1,1
"110","asg",0.23089824168,0.29106055,0.1764318,15,50,1,1
"111","naive",0.2946814416,0.36385075,0.22986435,15,50,1,1
"112","sir",0.17667657178,0.225582525,0.13351885,15,50,1,1
"113","arima",0.601744640803472,0.9742265,0.023721665,16,1,1,1
"114","asg",0.015872728236892,0.05903981,0.0004198173,16,1,1,1
"115","naive",0.374996997398702,0.954788575,0.00773087975,16,1,1,1
"116","sir",0.00738563413647112,0.0268891475,0.00019151665,16,1,1,1
"117","arima",0.29826762688,0.367900125,0.233088875,16,50,1,1
"118","asg",0.23161292722,0.291932175,0.176490875,16,50,1,1
"119","naive",0.29424278494,0.3635626,0.22929445,16,50,1,1
"120","sir",0.175876661896,0.224779175,0.13194495,16,50,1,1
"121","arima",0.593862872330448,0.973377425,0.0242790525,17,1,1,1
"122","asg",0.016350554918183,0.060671675,0.000423143275,17,1,1,1
"123","naive",0.38248562834455,0.954197375,0.0085397805,17,1,1,1
"124","sir",0.00730094534640054,0.0271110175,0.000181011125,17,1,1,1
"125","arima",0.29802518516,0.3670751,0.23292185,17,50,1,1
"126","asg",0.23253280476,0.2927351,0.17825885,17,50,1,1
"127","naive",0.29389151344,0.36331035,0.22883755,17,50,1,1
"128","sir",0.175550498802,0.22409325,0.131988,17,50,1,1
"129","arima",0.629784137630972,0.975139075,0.0299035575,18,1,1,1
"130","asg",0.0166230818680832,0.0615381775,0.000414817675,18,1,1,1
"131","naive",0.346186440727231,0.947423725,0.0069239885,18,1,1,1
"132","sir",0.00740633907051032,0.027315625,0.00018997785,18,1,1,1
"133","arima",0.2976259846,0.36637125,0.23245995,18,50,1,1
"134","asg",0.23331116114,0.294092525,0.178485,18,50,1,1
"135","naive",0.2935169863,0.362323475,0.228164975,18,50,1,1
"136","sir",0.175545870486,0.224228275,0.132192925,18,50,1,1
"137","arima",0.627720173656736,0.97411115,0.03187281,19,1,1,1
"138","asg",0.0171237588825174,0.064008215,0.0004263796,19,1,1,1
"139","naive",0.347678508315491,0.9457475,0.00761035475,19,1,1,1
"140","sir",0.00747755898904228,0.027855095,0.00019300795,19,1,1,1
"141","arima",0.29744835792,0.366589475,0.232312825,19,50,1,1
"142","asg",0.23413969612,0.294437075,0.1790054,19,50,1,1
"143","naive",0.29276486002,0.3621245,0.228035775,19,50,1,1
"144","sir",0.175647083178,0.223731,0.132582875,19,50,1,1
